RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Steven Adams,Okc,C,26.56,47,26.9,55.9,17.1,14.5,145,0.586,353,0.592,2,0,0.589,0.601,10.7,9.2,19,2.6,14.6,0.64,1.11,1.51,9.4,122.6,102
,Bam Adebayo,Mia,C-F,22.57,52,34.7,72.3,20,17.4,265,0.687,549,0.59,11,0.091,0.581,0.616,16,10.4,16.8,4.9,22.3,1.17,1.19,2.75,10.8,118.8,102.1
,LaMarcus Aldridge,San,F-C,34.56,48,33.1,68.9,22.9,7.9,169,0.834,565,0.522,134,0.41,0.54,0.579,18.7,7.5,12.1,2.4,11,0.63,1.69,1.38,8.4,116.3,108.7
,Nickeil Alexander-Walker,Nor,G,21.44,40,12.5,25.9,22.9,14.4,28,0.607,108,0.343,117,0.342,0.431,0.445,5.3,2,8.3,1.9,20.8,0.28,0.18,1,8.7,91.1,107.3
,Grayson Allen,Mem,G,24.34,30,16.6,34.6,18,10.7,35,0.857,85,0.541,91,0.363,0.543,0.577,7.4,2.2,7,1.4,11.8,0.23,0.03,0.77,6.8,110.2,109.6
,Jarrett Allen,Bro,C,21.81,51,26.9,55.9,14.9,12.1,196,0.628,337,0.653,5,0,0.643,0.657,11,9.6,18.4,1.4,7.8,0.65,1.45,1.16,7.9,129,99.7
,Kadeem Allen,Nyk,G,27.07,10,11.7,24.4,20.6,14.1,11,0.636,28,0.5,16,0.313,0.489,0.512,5,0.9,4.1,2.1,27.4,0.5,0.2,0.8,7.2,105.4,111.4
,Al-Farouq Aminu,Orl,F,29.39,18,21.1,44,13.2,14.7,29,0.655,50,0.32,36,0.25,0.343,0.395,4.3,4.9,12.2,1.2,7.6,1,0.44,0.94,5.6,87.5,101.8
,Justin Anderson,Bro,F-G,26.23,3,5.6,11.7,17,0,2,0.5,3,0.333,3,0,0.167,0.218,1,0.7,6.1,0,0,0,0.33,0,0,50,101.7
,Kyle Anderson,Mem,F-G,26.39,47,17.9,37.3,13.5,14.7,54,0.648,169,0.562,40,0.2,0.512,0.535,5.3,4,12,2.2,15.7,0.72,0.49,0.85,8,110.5,105.3
,Ryan Anderson,Hou,F,31.76,2,7,14.6,23.5,12.5,0,0,2,0.5,5,0.2,0.357,0.357,2.5,3.5,26.1,1,20.1,0.5,0,0.5,11.8,78.3,94.5
,Giannis Antetokounmpo,Mil,F,25.18,48,30.9,64.3,37.8,13,500,0.614,730,0.625,233,0.313,0.587,0.608,30,13.5,21.4,5.8,33.8,1.1,1.06,3.67,17.2,116.4,89.6
,Kostas Antetokounmpo,Lal,F,22.22,3,1.7,3.5,0,,0,0,0,0,0,0,,,0,0.3,10.7,0.3,22,0,0,0,0,,
,Thanasis Antetokounmpo,Mil,F,27.57,15,4.1,8.5,21.6,15.6,9,0.444,20,0.65,3,0,0.565,0.556,2,0.5,5.6,0.4,14,0.13,0.07,0.33,7.2,107.2,93.6
,Carmelo Anthony,Por,F,35.7,38,32.6,67.9,21.8,10.5,98,0.837,377,0.44,148,0.372,0.473,0.51,15.2,6.6,10.4,1.6,6.9,0.82,0.47,1.76,6.7,100.6,107.5
,OG Anunoby,Tor,F,22.57,52,29,60.3,14.7,12,63,0.651,248,0.581,177,0.367,0.568,0.579,10.1,5.3,9.6,1.5,7.5,1.17,0.63,1.19,6,109.7,100.2
,Ryan Arcidiacono,Chi,G,25.88,50,14.9,31.1,12.3,12.6,28,0.714,66,0.409,109,0.413,0.54,0.558,4.2,1.7,6.2,1.6,14.7,0.4,0.06,0.54,6,113,104.2
,Trevor Ariza,Sac,F,34.61,32,24.7,51.5,11.3,13.7,27,0.778,43,0.488,122,0.352,0.518,0.543,6,4.6,10.4,1.6,8.5,1.09,0.25,0.88,5.7,107.6,105.1
,Trevor Ariza,Por,F,34.61,9,31.6,65.8,12.2,11,13,0.923,37,0.595,30,0.4,0.597,0.633,10.2,4.6,7.4,1.9,8,1.56,0.22,1,5.7,122.5,108.4
,D.J. Augustin,Orl,G,32.25,39,26,54.1,18.8,12.4,130,0.877,190,0.426,136,0.346,0.465,0.544,10.7,2.4,5,4.7,27.4,0.67,0.03,1.38,7.6,113.9,108.6
,Deandre Ayton,Pho,C,21.55,23,33.1,68.9,23.8,10.3,56,0.804,356,0.542,2,0,0.539,0.563,18.7,12,20,2.2,11.1,0.74,1.61,1.91,9.6,111.8,102.3
,Dwayne Bacon,Cha,G-F,24.45,38,17.7,36.9,19.5,12,53,0.66,174,0.379,67,0.284,0.392,0.424,5.9,2.5,7.7,1.3,11.7,0.61,0.05,0.95,6,86.9,108.6
,Marvin Bagley III,Sac,F,20.91,13,25.7,53.5,26,9.1,31,0.806,145,0.51,22,0.182,0.479,0.512,14.2,7.5,16.4,0.8,5.1,0.46,0.92,1.38,6.8,102.1,99.9
,Lonzo Ball,Nor,G,22.29,45,31.9,66.4,18.8,19.9,52,0.558,212,0.448,291,0.361,0.502,0.508,11.9,6.1,10,6.6,28.5,1.33,0.42,2.91,9.8,102.7,109.2
,Mo Bamba,Orl,C,21.75,49,15,31.2,16.9,13.7,32,0.688,148,0.541,84,0.333,0.526,0.54,5.4,5,17.7,0.6,6.6,0.37,1.43,0.8,6.7,105.8,95.5
,J.J. Barea,Dal,G,35.62,16,15.5,32.2,25.1,13.8,10,1,73,0.452,48,0.458,0.545,0.566,8.9,1.9,6.5,3.6,36.3,0.19,0.06,1.25,10.2,116.9,111.9
,Harrison Barnes,Sac,F,27.7,52,34.7,72.3,17.7,8.6,208,0.798,393,0.496,186,0.355,0.508,0.562,14.5,4.9,8,2.2,9.3,0.56,0.15,1.21,6.2,113.8,113.5
,RJ Barrett,Nyk,F-G,19.66,44,30.5,63.6,23.2,12.6,197,0.599,407,0.413,147,0.327,0.433,0.467,13.6,5.1,8.9,2.5,12.3,0.95,0.36,2.09,7.3,93.3,108.6
,Will Barton,Den,G,29.09,48,33.3,69.3,19.9,9.1,115,0.765,390,0.485,228,0.382,0.517,0.544,15.1,6.5,10.7,3.7,16.4,1.1,0.5,1.4,8.6,113.1,105.2
,Keita Bates-Diop,Min,F,24.05,37,17.5,36.4,15.9,5.6,65,0.708,112,0.5,94,0.33,0.498,0.535,6.8,3,8.9,0.8,6.8,0.46,0.54,0.38,5.8,111.5,109.7
